time_sequence,contributor,grant,amount,flag
69,b0eb2d61ce,"ethers.js - Complete, Simple and Tiny",5.04904625510565,0
70,b0eb2d61ce,Dune Analytics,5.04904625510565,0
71,b0eb2d61ce,forum cp0x - cozy forum about cryptospace in Russian,5.04904625510565,0
72,b0eb2d61ce,Zapper.fi,5.04904625510565,0
73,b0eb2d61ce,Furucombo - Build your own DeFi legos into one transaction without knowing how to code.,5.04904625510565,0
74,b0eb2d61ce,Gitcoin Grants Round 8 + Dev Fund,5.04904625510565,0
75,58f7d23d3d,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
76,3c5771d67c,Caio Investe,3.5875796128274997,0
77,c2d16f4563,EIP-1559 Community Fund,3.5875796128274997,0
78,eae816cca5,Whiteblock Testing,4.75,0
79,d8d3193c9f,Meta Gamma Delta - Panvala League,4.75,0
80,99efe08532,EIP-1559 Community Fund,142.5,0
81,6bb80811f0,GoodGhosting - a DeFi savings game,68.55806514295,0
82,6bb80811f0,Gitcoin Grants Round 8 + Dev Fund,6.26e-16,0
83,b2d1da7345,Mol LeArt,2375.0000000000005,0
84,eed977d44a,Gitcoin Grants Round 8 + Dev Fund,-0.01804159609025001,0
85,eed977d44a,Turbo-Geth,5.123813289630999,0
86,17157d2e1c,The Commons Stack: Iteration 0,47.5,0
87,17157d2e1c,Commons Simulator: Reverse the Apocalypse with Economies that Fund Public Goods ,47.5,0
88,17157d2e1c,The Gitcoin Open Source Support Fund,23.75,0
89,17157d2e1c,BrightID 🔆 Universal Proof of Uniqueness,23.75,0
90,17157d2e1c,RadicalxChange Foundation is a 501(c)(3) nonprofit organization for next-generation political economies.,23.75,0
91,17157d2e1c,Support the 🌟  Community Currency Alliance 🌟  enabling an inclusive currency ecosystem,47.5,0
92,17157d2e1c,KERNEL [Panvala League],23.75,0
93,17157d2e1c,Raid Guild,9.5,0
94,17157d2e1c,1Hive Gardens ,9.5,0
95,17157d2e1c,Trust Graphic Novel,14.250000000000002,0
96,17157d2e1c,cadCAD: Computer Aided Design for Complex Systems,23.75,0
97,17157d2e1c,Democracy Earth Foundation,23.75,0
98,17157d2e1c,rTrees - Defi charity app,23.75,0
99,17157d2e1c,Gitcoin Grants Round 8 + Dev Fund,23.75,0
100,17157d2e1c,Giveth 2.0,23.75,0
101,17157d2e1c,The Commons Stack: Iteration 0,47.5,0
102,17157d2e1c,Commons Simulator: Reverse the Apocalypse with Economies that Fund Public Goods ,47.5,0
103,17157d2e1c,The Gitcoin Open Source Support Fund,23.75,0
104,17157d2e1c,RadicalxChange Foundation is a 501(c)(3) nonprofit organization building markets and technology truer to the richness of our diversely shared lives.,23.75,0
105,17157d2e1c,BrightID 🔆 Universal Proof of Uniqueness,23.75,0
106,17157d2e1c,Raid Guild,9.5,0
107,17157d2e1c,Trust Graphic Novel,14.250000000000002,0
108,17157d2e1c,cadCAD: Computer Aided Design for Complex Systems,23.75,0
109,17157d2e1c,Giveth 2.0,23.75,0
110,17157d2e1c,Support the creation of an inclusive currency ecosystem,47.5,0
111,17157d2e1c,1Hive Gardens ,23.75,0
112,17157d2e1c,KERNEL [Panvala League],23.75,0
113,17157d2e1c,Democracy Earth Foundation,23.75,0
114,eae816cca5,Prysm by Prysmatic Labs,4.75,0
115,eae816cca5,Lighthouse: Ethereum 2.0 Client,4.75,0
116,17157d2e1c,rTrees - Defi charity app,23.75,0
117,eae816cca5,Bankless,4.75,0
118,eae816cca5,Prysm by Prysmatic Labs,4.75,0
119,eae816cca5,Lighthouse: Ethereum 2.0 Client,4.75,0
120,eae816cca5,Bankless,4.75,0
121,7f56d54c74,Lighthouse: Ethereum 2.0 Client,9.5,0
122,7f56d54c74,Nimbus,9.5,0
123,7f56d54c74,Lodestar -Ethereum 2.0 Client,9.5,0
124,7f56d54c74,beaconcha.in - Open source Eth2 blockchain explorer,9.5,0
125,7f56d54c74,The Ethereum 2.0 Annotated Specification,9.5,0
126,7f56d54c74,Prysm by Prysmatic Labs,9.5,0
127,7f56d54c74,Ethereum on ARM,9.5,0
128,4a0832b099,Turbo-Geth,10.2837097714425,0
129,7f56d54c74,Lighthouse: Ethereum 2.0 Client,9.5,0
130,7f56d54c74,Nimbus,9.5,0
131,7f56d54c74,Lodestar -Ethereum 2.0 Client,9.5,0
132,7f56d54c74,beaconcha.in - Open source Eth2 blockchain explorer,9.5,0
133,7f56d54c74,The Ethereum 2.0 Annotated Specification,9.5,0
134,7f56d54c74,Prysm by Prysmatic Labs,9.5,0
135,7f56d54c74,Ethereum on ARM,9.5,0
136,0494450a40,GoodGhosting - a DeFi savings game,19.0,0
137,e052102933,Prysm by Prysmatic Labs,6.855806514295,0
138,e052102933,DAppNode - Panvala League,6.855806514295,0
139,e052102933,Tornado.cash,6.855806514295,0
140,e052102933,Prysm by Prysmatic Labs,6.855806514295,0
141,e052102933,DAppNode - Panvala League,6.855806514295,0
142,e052102933,Tornado.cash,6.855806514295,0
143,f1df9e8aa8,DAppNode - Panvala League,4.75,0
144,f1df9e8aa8,The Daily Gwei by Anthony Sassano (sassal0x),0.95,0
145,f1df9e8aa8,DAO-Governed EIPs and ETH 2.0 spec,4.75,0
146,f1df9e8aa8,$25k DEFI Security Audit Fund,0.95,0
147,f1df9e8aa8,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
148,f1df9e8aa8,Gitcoin Grants Round 8 + Dev Fund,2.22e-16,0
149,f1df9e8aa8,BrightID 🔆 Universal Proof of Uniqueness,4.75,0
150,f1df9e8aa8,MetaGame,4.75,0
151,f1df9e8aa8,TokenBrice: Shining light on Ethereum's DeFi (EN & FR),0.95,0
152,f1df9e8aa8,Tornado.cash,0.95,0
153,a8c015b075,RadicalxChange Foundation is a 501(c)(3) nonprofit organization building markets and technology truer to the richness of our diversely shared lives.,23.75,0
154,a8c015b075,RadicalxChange Foundation is a 501(c)(3) nonprofit organization building markets and technology truer to the richness of our diversely shared lives.,23.75,0
155,3b516d8428,Turbo-Geth,9.5,0
156,3b516d8428,MetaGame,9.5,0
157,3b516d8428,Ethereum on ARM,9.5,0
158,110157a294,DAppNode - Panvala League,14.998500000000002,0
159,a8c015b075,Democracy Earth Foundation,23.75,0
160,110157a294,Turbo-Geth,9.99,0
161,5a006d5b55,Open Reviews: A Web2 to Web 3 Replication Protocol,9.5,0
162,110157a294,Week in Ethereum News,9.99,0
163,f97f6d14a1,Parcel,6.855806514295,0
164,010d6dc184,Parcel,10.608458501066998,0
165,010d6dc184,Gitcoin Grants Round 8 + Dev Fund,-0.018041596090250047,0
166,110157a294,Tornado.cash,9.99,0
167,110157a294,Rotki - The portfolio tracker and accounting tool that protects your privacy,9.99,0
168,7f56d54c74,Seed 🌱 Club - The social token incubator,9.5,0
169,110157a294,"Locha Mesh: private txs, censorship-resistant dApps, and IPFS over a resilient long-range radio mesh network",14.985000000000001,0
170,a9f4604a14,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
171,110157a294,The Department of Decentralization (neé ETHBerlin) ,9.99,0
172,c8bad5615c,Teach Kids about Ethereum with Virtual Reality ,190.0,0
173,c8bad5615c,Teach Kids about Ethereum with Virtual Reality ,190.0,0
174,c40324a7be,Parcel,4.75,0
175,c40324a7be,Parcel,4.75,0
176,a9f4604a14,Parcel,0.95,0
177,700178ad5a,Teach Kids about Ethereum with Virtual Reality ,20.0,0
178,a9f4604a14,DeFi Dad DeFi Tutorials on YouTube and Twitter,0.95,0
179,3f17b2068d,Gitcoin Grants Round 8 + Dev Fund,0.99,0
180,3f17b2068d,Bankless,0.99,0
181,3f17b2068d,EthHub - Ethereum Information Hub,0.99,0
182,3f17b2068d,Prysm by Prysmatic Labs,0.99,0
183,3f17b2068d,The Gitcoin Open Source Support Fund,0.99,0
184,3f17b2068d,defiprime.com,0.99,0
185,3f17b2068d,DeFi Tutorials,0.99,0
186,3f17b2068d,Ethereum Magicians,0.99,0
187,3f17b2068d,DeFi Saver,0.99,0
188,3f17b2068d,Zapper.fi,0.99,0
189,3f17b2068d,Lighthouse: Ethereum 2.0 Client,0.99,0
190,3f17b2068d,DAppNode - Panvala League,0.99,0
191,3f17b2068d,Turbo-Geth,0.99,0
192,3f17b2068d,Scoopy Trooples Twitter,0.99,0
193,3f17b2068d,ETH Memes Twitter,0.99,0
194,3f17b2068d,@antiprosynth Twitter account activity,0.99,0
195,3f17b2068d,Week in Ethereum News,0.99,0
196,3f17b2068d,wolfofethereum.eth,0.99,0
197,3f17b2068d,yearn.finance,0.99,0
198,3f17b2068d,POAP (Proof of Attendance Protocol),0.99,0
199,3f17b2068d,DeFi Pulse Registry,0.99,0
200,3f17b2068d,DeFi Dad DeFi Tutorials on YouTube and Twitter,0.99,0
201,3f17b2068d,Yazanator Twitter Account Activity,0.99,0
202,3f17b2068d,TokenSmart,0.99,0
203,3f17b2068d,Dune Analytics,0.99,0
204,3f17b2068d,White Hat Hacking,0.99,0
205,3f17b2068d,The Ethereum 2.0 Annotated Specification,0.99,0
206,3f17b2068d,Giveth 2.0,0.99,0
207,3f17b2068d,Gitcoin Grants Round 8 + Dev Fund,0.99,0
208,3f17b2068d,Bankless,0.99,0
209,3f17b2068d,EthHub - Ethereum Information Hub,0.99,0
210,3f17b2068d,The Gitcoin Open Source Support Fund,0.99,0
211,3f17b2068d,Prysm by Prysmatic Labs,0.99,0
212,3f17b2068d,Lighthouse: Ethereum 2.0 Client,0.99,0
213,3f17b2068d,DeFi Tutorials,0.99,0
214,3f17b2068d,defiprime.com,0.99,0
215,3f17b2068d,DAppNode - Panvala League,0.99,0
216,3f17b2068d,@antiprosynth Twitter account activity,0.99,0
217,3f17b2068d,Turbo-Geth,0.99,0
218,3f17b2068d,Zapper.fi,0.99,0
219,3f17b2068d,Ethereum Magicians,0.99,0
220,3f17b2068d,Week in Ethereum News,0.99,0
221,3f17b2068d,Yazanator Twitter Account Activity,0.99,0
222,3f17b2068d,Dune Analytics,0.99,0
223,3f17b2068d,DeFi Saver,0.99,0
224,3f17b2068d,ETH Memes Twitter,0.99,0
225,3f17b2068d,Scoopy Trooples Twitter,0.99,0
226,3f17b2068d,wolfofethereum.eth,0.99,0
227,3f17b2068d,The Ethereum 2.0 Annotated Specification,0.99,0
228,3f17b2068d,White Hat Hacking,0.99,0
229,3f17b2068d,yearn.finance,0.99,0
230,3f17b2068d,POAP (Proof of Attendance Protocol),0.99,0
231,3f17b2068d,DeFi Pulse Registry,0.99,0
232,3f17b2068d,DeFi Dad DeFi Tutorials on YouTube and Twitter,0.99,0
233,3f17b2068d,Giveth 2.0,0.99,0
234,3f17b2068d,TokenSmart,0.99,0
235,3f17b2068d,Gitcoin Grants Round 8 + Dev Fund,1.11e-16,0
236,3f6b84b410,R&D in Rent-Free Public Financial Utilities,9.5,0
237,3f6b84b410,Turbo-Geth,9.5,0
238,3f6b84b410,Week in Ethereum News,9.5,0
239,6e2bcbea45,Vyper.fun,68.55806514295,0
240,6e2bcbea45,Brownie,68.55806514295,0
241,6e2bcbea45,"ethers.js - Complete, Simple and Tiny",68.55806514295,0
242,6e2bcbea45,Lighthouse: Ethereum 2.0 Client,68.55806514295,0
243,6e2bcbea45,cadCAD: Computer Aided Design for Complex Systems,68.55806514295,0
244,6e2bcbea45,Implement support for asyncio using Web3.py,68.55806514295,0
245,6e2bcbea45,Nethermind,68.55806514295,0
246,6e2bcbea45,Gitcoin Grants Round 8 + Dev Fund,1.0015e-14,0
247,6e2bcbea45,Gitcoin Grants Round 8 + Dev Fund,68.55806514295,0
248,6e2bcbea45,ArchiveNode.io - The Public Access Ethereum Archive Node,68.55806514295,0
249,6e2bcbea45,Tornado.cash,68.55806514295,0
250,6dfe4eb1a8,KERNEL [Panvala League],4.75,0
251,6dfe4eb1a8,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
252,6dfe4eb1a8,"ethers.js - Complete, Simple and Tiny",4.75,0
253,6dfe4eb1a8,Prysm by Prysmatic Labs,4.75,0
254,6dfe4eb1a8,MolochDAO,0.95,0
255,6dfe4eb1a8,Lighthouse: Ethereum 2.0 Client,4.75,0
256,6dfe4eb1a8,Ethereum Dev Fund Working Group,4.75,0
257,6dfe4eb1a8,cadCAD: Computer Aided Design for Complex Systems,9.5,0
258,6dfe4eb1a8,Wizards of DApps podcast,19.0,0
259,6dfe4eb1a8,My DAO Dashboard,4.75,0
260,6dfe4eb1a8,Decentralize Data NOW! Cat Herding,4.75,0
261,6dfe4eb1a8,ZoKrates,4.75,0
262,6dfe4eb1a8,Arweave makes information permanence sustainable.,4.75,0
263,6dfe4eb1a8,White Hat Hacking,4.75,0
264,6dfe4eb1a8,MetaCartel,19.0,0
265,6dfe4eb1a8,@antiprosynth Twitter account activity,4.75,0
266,6dfe4eb1a8,Ethereum Magicians,9.5,0
267,6dfe4eb1a8,DeFi Dad DeFi Tutorials on YouTube and Twitter,9.5,0
268,6dfe4eb1a8,KERNEL [Panvala League],4.75,0
269,6dfe4eb1a8,Rotki - The portfolio tracker and accounting tool that protects your privacy,0.95,0
270,6dfe4eb1a8,"ethers.js - Complete, Simple and Tiny",4.75,0
271,6dfe4eb1a8,Prysm by Prysmatic Labs,4.75,0
272,6dfe4eb1a8,Lighthouse: Ethereum 2.0 Client,4.75,0
273,6dfe4eb1a8,MolochDAO,0.95,0
274,6dfe4eb1a8,Ethereum Dev Fund Working Group,4.75,0
275,6dfe4eb1a8,ZoKrates,4.75,0
276,6dfe4eb1a8,cadCAD: Computer Aided Design for Complex Systems,9.5,0
277,6dfe4eb1a8,White Hat Hacking,4.75,0
278,6dfe4eb1a8,Decentralize Data NOW! Cat Herding,4.75,0
279,6dfe4eb1a8,Arweave makes information permanence sustainable.,4.75,0
280,6dfe4eb1a8,@antiprosynth Twitter account activity,4.75,0
281,6dfe4eb1a8,Wizards of DApps podcast,19.0,0
282,6dfe4eb1a8,My DAO Dashboard,4.75,0
283,6dfe4eb1a8,DeFi Dad DeFi Tutorials on YouTube and Twitter,9.5,0
284,6dfe4eb1a8,MetaCartel,19.0,0
285,6dfe4eb1a8,Ethereum Magicians,9.5,0
286,a9f4604a14,Vyper Smart Contract Language,0.95,0
287,fa28696b8f,Bankless,34.279032571475,0
288,fa28696b8f,Zero Knowledge Podcast,68.55806514295,0
289,fa28696b8f,Ethereum.cn,17.1395162857375,0
290,fa28696b8f,EthFans,17.1395162857375,0
291,fa28696b8f,區塊勢 — 說人話的區塊鏈圖文,17.1395162857375,0
292,fa28696b8f,Unitimes-Ethereum developer community platform,34.279032571475,0
293,fa28696b8f,Vipnode,34.279032571475,0
294,fa28696b8f,Nethermind,17.1395162857375,0
295,fa28696b8f,MolochDAO,17.1395162857375,0
296,fa28696b8f,Lighthouse: Ethereum 2.0 Client,17.1395162857375,0
297,fa28696b8f,Secure Scuttlebutt :: Ethereum Fusion,17.1395162857375,0
298,fa28696b8f,Gitcoin Grants Round 8 + Dev Fund,5.008e-15,0
299,a57dbb0763,EIP-1559 Community Fund,23.75,0
300,a57dbb0763,Zapper.fi,4.75,0
301,a57dbb0763,Rotki - The portfolio tracker and accounting tool that protects your privacy,4.75,0
302,a57dbb0763,Dune Analytics,23.75,0
303,a57dbb0763,The Defiant,4.75,0
304,a57dbb0763,Lighthouse: Ethereum 2.0 Client,4.75,0
305,a57dbb0763,DAppNode - Panvala League,4.75,0
306,a57dbb0763,Prysm by Prysmatic Labs,4.75,0
307,a57dbb0763,Vyper Smart Contract Language,4.75,0
308,a57dbb0763,Bankless,4.75,0
309,a57dbb0763,White Hat Hacking,14.250000000000002,0
310,a57dbb0763,1inch.exchange on-chain DeFi aggregation protocol,4.75,0
311,a57dbb0763,"ethers.js - Complete, Simple and Tiny",4.75,0
312,a57dbb0763,fuzz geth and Parity for EVM consensus bugs,14.250000000000002,0
313,a57dbb0763,DeFi Dad DeFi Tutorials on YouTube and Twitter,4.75,0
314,b0382df1d6,ZuniSwap阻尼币 : Pre-Launch Community Research,3427.9032571475,0
315,eae816cca5,"ethers.js - Complete, Simple and Tiny",4.75,0
316,eae816cca5,Whiteblock Testing,4.75,0
317,eae816cca5,Lighthouse: Ethereum 2.0 Client,4.75,0
318,eae816cca5,ZoKrates,4.75,0
319,eae816cca5,ChainID Network,4.75,0
320,eae816cca5,Ironbelly - Grin mobile wallet,4.75,0
321,eae816cca5,Trinity - Research for migration of Ethereum 1.x to 2.0,4.75,0
322,eae816cca5,Prysm by Prysmatic Labs,4.75,0
323,eae816cca5,White Hat Hacking,4.75,0
324,eae816cca5,Turbo-Geth,4.75,0
325,eae816cca5,Lodestar -Ethereum 2.0 Client,4.75,0
326,eae816cca5,Ethereum Swarm,4.75,0
327,eae816cca5,Trinity - Ethereum 2.0 client,4.75,0
328,eae816cca5,Ethereum Push Notification Service (EPNS),4.75,0
329,e18c32ee1e,CrypCade Entertainment Systems,3.4279032571475,0
330,eae816cca5,"ethers.js - Complete, Simple and Tiny",4.75,0
331,eae816cca5,Lighthouse: Ethereum 2.0 Client,4.75,0
332,eae816cca5,Prysm by Prysmatic Labs,4.75,0
333,eae816cca5,ZoKrates,4.75,0
334,eae816cca5,Ironbelly - Grin mobile wallet,4.75,0
335,eae816cca5,Lodestar -Ethereum 2.0 Client,4.75,0
336,eae816cca5,ChainID Network,4.75,0
337,eae816cca5,Turbo-Geth,4.75,0
338,eae816cca5,White Hat Hacking,4.75,0
339,eae816cca5,Trinity - Research for migration of Ethereum 1.x to 2.0,4.75,0
340,eae816cca5,Ethereum Push Notification Service (EPNS),4.75,0
341,eae816cca5,Trinity - Ethereum 2.0 client,4.75,0
342,eae816cca5,Ethereum Swarm,4.75,0
343,84e0ecef73,Tornado.cash,14.250000000000002,0
344,81f498bd0b,Ethereum Push Notification Service (EPNS),4.75,0
345,81f498bd0b,Whiteblock Testing,4.75,0
346,81f498bd0b,Trinity - Ethereum 2.0 client,4.75,0
347,81f498bd0b,Lighthouse: Ethereum 2.0 Client,4.75,0
348,81f498bd0b,ZoKrates,4.75,0
349,81f498bd0b,ChainID Network,4.75,0
350,81f498bd0b,White Hat Hacking,4.75,0
351,81f498bd0b,Ironbelly - Grin mobile wallet,4.75,0
352,81f498bd0b,"ethers.js - Complete, Simple and Tiny",4.75,0
353,81f498bd0b,Lodestar -Ethereum 2.0 Client,4.75,0
354,81f498bd0b,Prysm by Prysmatic Labs,4.75,0
355,81f498bd0b,Trinity - Research for migration of Ethereum 1.x to 2.0,4.75,0
356,81f498bd0b,Ethereum Swarm,4.75,0
357,81f498bd0b,Turbo-Geth,4.75,0
358,81f498bd0b,Ironbelly - Grin mobile wallet,4.75,0
359,81f498bd0b,White Hat Hacking,4.75,0
360,81f498bd0b,Trinity - Ethereum 2.0 client,4.75,0
361,81f498bd0b,Prysm by Prysmatic Labs,4.75,0
362,81f498bd0b,"ethers.js - Complete, Simple and Tiny",4.75,0
363,81f498bd0b,Whiteblock Testing,4.75,0
364,81f498bd0b,Trinity - Research for migration of Ethereum 1.x to 2.0,4.75,0
365,81f498bd0b,Ethereum Swarm,4.75,0
366,81f498bd0b,Lighthouse: Ethereum 2.0 Client,4.75,0
367,81f498bd0b,ZoKrates,4.75,0
368,81f498bd0b,Turbo-Geth,4.75,0
369,81f498bd0b,Ethereum Push Notification Service (EPNS),4.75,0
370,81f498bd0b,ChainID Network,4.75,0
371,81f498bd0b,Lodestar -Ethereum 2.0 Client,4.75,0
372,c0344e56a5,RadicalxChange Foundation is a 501(c)(3) nonprofit organization building markets and technology truer to the richness of our diversely shared lives.,4.75,0
373,c0344e56a5,Connext Network,4.75,0
374,c0344e56a5,Ethereum Dev Fund Working Group,4.75,0
375,c0344e56a5,Black Girls CODE x Blockchain Ecosystem,4.75,0
376,c0344e56a5,Africa Blockchain Developer Program,4.75,0
377,c0344e56a5,Africa Blockchain Developer Program,4.75,0
378,c0344e56a5,Ethereum Dev Fund Working Group,4.75,0
379,c0344e56a5,Connext Network,4.75,0
380,c0344e56a5,Black Girls CODE x Blockchain Ecosystem,4.75,0
381,c0344e56a5,RadicalxChange Foundation is a 501(c)(3) nonprofit organization building markets and technology truer to the richness of our diversely shared lives.,4.75,0
382,58749576ee,The Gitcoin Open Source Support Fund,0.34279032571475,0
383,cfa4908744,BrightID 🔆 Universal Proof of Uniqueness,4.75,0
384,cfa4908744,Gelato - An automation protocol for Ethereum,4.75,0
385,cfa4908744,Austin Griffith Ethereum Research and Development,0.95,0
386,cfa4908744,EthHub - Ethereum Information Hub,1.9,0
387,cfa4908744,Bankless,1.9,0
388,cfa4908744,BrightID 🔆 Universal Proof of Uniqueness,4.75,0
389,cfa4908744,Marketing DAO,0.95,0
390,cfa4908744,Implement support for asyncio using Web3.py,0.95,0
391,cfa4908744,EthHub - Ethereum Information Hub,1.9,0
392,cfa4908744,Gelato - An automation protocol for Ethereum,4.75,0
393,cfa4908744,Gitcoin Grants Round 8 + Dev Fund,0.0,0
394,cfa4908744,Implement support for asyncio using Web3.py,0.95,0
395,cfa4908744,Gitcoin Grants Round 8 + Dev Fund,0.0,0
396,cfa4908744,DAppNode - Panvala League,0.95,0
397,cfa4908744,Marketing DAO,0.95,0
398,cfa4908744,Austin Griffith Ethereum Research and Development,0.95,0
399,cfa4908744,Vyper Smart Contract Language,0.95,0
400,cfa4908744,Vyper Smart Contract Language,0.95,0
401,cfa4908744,Bankless,1.9,0
402,cfa4908744,DAppNode - Panvala League,0.95,0
403,58749576ee,Gitcoin Grants Round 8 + Dev Fund,0.0,0
404,58749576ee,BrightID 🔆 Universal Proof of Uniqueness,0.34279032571475,0
405,8b1ddbcf2b,Turbo-Geth,47.5,0
406,8b1ddbcf2b,"ethers.js - Complete, Simple and Tiny",47.5,0
407,8b1ddbcf2b,Dune Analytics,47.5,0
408,8b1ddbcf2b,DAppNode - Panvala League,47.5,0
409,8b1ddbcf2b,EthHub - Ethereum Information Hub,4.75,0
410,8b1ddbcf2b,Bankless,4.75,0
411,8b1ddbcf2b,White Hat Hacking,95.0,0
412,8b1ddbcf2b,Prysm by Prysmatic Labs,47.5,0
413,8b1ddbcf2b,Vyper Smart Contract Language,47.5,0
414,8b1ddbcf2b,MolochDAO,4.75,0
415,8b1ddbcf2b,Gitcoin Grants Round 8 + Dev Fund,4.75,0
416,8b1ddbcf2b,cadCAD: Computer Aided Design for Complex Systems,47.5,0
417,8b1ddbcf2b,"Cryptoeconomics.study - Free, Open-Source Blockchain Course",4.75,0
418,8b1ddbcf2b,DeFi Dad DeFi Tutorials on YouTube and Twitter,4.75,0
419,8b1ddbcf2b,Week in Ethereum News,4.75,0
420,8b1ddbcf2b,Monthly Ethereum News & Development Update,4.75,0
421,8b1ddbcf2b,Black Girls CODE x Blockchain Ecosystem,4.75,0
422,8b1ddbcf2b,Wallets.Review,47.5,0
423,8b1ddbcf2b,Tenderly,4.75,0
424,8b1ddbcf2b,Snapshot,47.5,0
425,8b1ddbcf2b,Implement support for asyncio using Web3.py,4.75,0
426,8b1ddbcf2b,ParaSwap.io - The fastest liquidity aggregator,47.5,0
427,8b1ddbcf2b,Ethereum Dev Fund Working Group,47.5,0
428,8b1ddbcf2b,Austin Griffith Ethereum Research and Development,47.5,0
429,8b1ddbcf2b,defiprime.com,4.75,0
430,8b1ddbcf2b,rDAI,47.5,0
431,8b1ddbcf2b,BUIDLHub,4.75,0
432,8b1ddbcf2b,EthKids.io,47.5,0
433,13438b3a6d,The Gitcoin Open Source Support Fund,34.279032571475,0
434,13438b3a6d,Gitcoin Grants Round 8 + Dev Fund,0.0,0
435,13438b3a6d,WalletConnect,17.1395162857375,0
436,58749576ee,"Cryptoeconomics.study - Free, Open-Source Blockchain Course",1.71395162857375,0
437,58749576ee,ZoKrates,1.71395162857375,0
438,909ce50fd9,Rotki - The portfolio tracker and accounting tool that protects your privacy,4.75,0
